Date,Open,High,Low,Close
04/27/2020,"0.0024","0.0024","0.0022","0.0023"
04/26/2020,"0.0021","0.0025","0.0021","0.0024"
04/25/2020,"0.0021","0.0022","0.0021","0.0021"
04/24/2020,"0.0020","0.0022","0.0020","0.0021"
04/23/2020,"0.0020","0.0022","0.0019","0.0021"
04/22/2020,"0.0020","0.0021","0.0020","0.0020"
04/21/2020,"0.0020","0.0020","0.0019","0.0020"
04/20/2020,"0.0020","0.0021","0.0020","0.0020"
04/19/2020,"0.0020","0.0022","0.0019","0.0020"
04/18/2020,"0.0020","0.0021","0.0020","0.0020"
04/17/2020,"0.0020","0.0020","0.0020","0.0020"
04/16/2020,"0.0019","0.0020","0.0019","0.0020"
04/15/2020,"0.0020","0.0020","0.0019","0.0019"
04/14/2020,"0.0020","0.0020","0.0019","0.0020"
04/13/2020,"0.0019","0.0019","0.0019","0.0019"
04/12/2020,"0.0020","0.0020","0.0020","0.0020"
04/11/2020,"0.0020","0.0020","0.0019","0.0020"
04/10/2020,"0.0020","0.0020","0.0019","0.0020"
04/09/2020,"0.0020","0.0021","0.0019","0.0021"
04/08/2020,"0.0020","0.0024","0.0020","0.0021"
04/07/2020,"0.0020","0.0020","0.0019","0.0020"
04/06/2020,"0.0019","0.0020","0.0019","0.0020"
04/05/2020,"0.0019","0.0019","0.0018","0.0019"
04/04/2020,"0.0019","0.0019","0.0018","0.0019"
04/03/2020,"0.0018","0.0019","0.0018","0.0018"
04/02/2020,"0.0019","0.0019","0.0018","0.0019"
04/01/2020,"0.0018","0.0019","0.0018","0.0019"
03/31/2020,"0.0018","0.0019","0.0018","0.0018"
03/30/2020,"0.0017","0.0019","0.0017","0.0018"
03/29/2020,"0.0018","0.0018","0.0017","0.0017"
03/28/2020,"0.0018","0.0018","0.0017","0.0018"
03/27/2020,"0.0019","0.0019","0.0017","0.0017"
03/26/2020,"0.0018","0.0018","0.0018","0.0018"
03/25/2020,"0.0019","0.0019","0.0018","0.0018"
03/24/2020,"0.0019","0.0019","0.0018","0.0019"
