,open,high,low,subjectivity,polarity,compound,negative,neutral,positive
415,143.6632681428571,143.98655569387753,143.2427986734694,1.0,-0.25,0.8516,0.0,0.92,0.08
416,153.80981740816327,155.72717446938776,153.05867195918367,0.0,0.0,0.0,0.0,1.0,0.0
417,162.42475153061224,163.14588063265307,161.44284981632654,0.0,0.0,0.9719,0.0,0.885,0.115
418,172.1883209387755,173.28140363265305,171.1783472857143,0.0,0.0,0.0,0.0,1.0,0.0
419,165.74885977551023,166.35744659183672,165.17799191836735,1.0,-0.25,0.9877,0.0,0.759,0.241
420,167.61817287755102,168.19326755102043,167.15101463265307,1.0,-0.25,0.555,0.0,0.967,0.033
421,163.54991224489797,164.0104538979592,162.72745548979591,0.0,0.0,0.836,0.018,0.89,0.092
422,160.7791707755102,161.50060097959184,160.02101512244897,0.0,0.0,0.8402,0.0,0.878,0.122
423,160.19851614285716,160.72218844897958,159.6096423877551,1.0,-0.25,0.9001,0.0,0.912,0.088
424,163.19340446938776,163.90408820408163,162.82451281632655,1.0,-0.25,0.9686,0.0,0.914,0.086
425,168.81691530612247,169.51924312244898,168.2459406734694,1.0,-0.25,0.4588,0.0,0.966,0.034
426,172.02071136734693,172.85776155102042,171.4520013877551,1.0,-0.25,0.4588,0.0,0.976,0.024
427,176.4422017346939,177.00393820408163,175.79123140816327,1.0,-0.25,0.9873,0.0,0.864,0.136
428,181.2550389387755,181.79624159183672,180.26320028571428,1.0,-0.28125,0.964,0.0,0.923,0.077
429,182.18538306122448,182.84623573469383,181.6207179183673,1.0,-0.25,0.9325,0.0,0.941,0.059
430,187.764949,188.71102855102043,187.06599897959185,1.0,-0.25,0.9776,0.0,0.904,0.096
431,188.03574948979596,188.6408468571429,187.28701275510207,1.0,-0.25,0.8668,0.0,0.911,0.089
432,223.07369328571428,224.06894059183676,221.93625085714288,0.0,0.0,0.0,0.0,1.0,0.0
433,227.20813274468085,228.09945197872335,226.51132423404252,0.0,0.0,0.0,0.0,1.0,0.0
434,222.8954925102041,223.73009420408164,221.5953071020408,0.0,0.0,0.8402,0.0,0.935,0.065
435,225.7966312857143,227.1603496734694,224.93484928571428,1.0,-0.25,0.8668,0.0,0.926,0.074
436,272.11761806122445,274.070335244898,270.83127575510207,1.0,-0.25,0.0,0.0,1.0,0.0
437,277.38451653061225,278.77150383673467,275.1497890408164,1.0,-0.25,0.9001,0.0,0.917,0.083
438,263.2976337346939,265.18045808163265,260.5009062448979,0.0,0.0,0.0,0.0,1.0,0.0
439,257.7171398979592,259.33500824489795,255.5653318979592,0.0,0.0,0.983,0.0,0.889,0.111
440,262.1236961836735,263.45193575510206,260.9118181020408,0.0,0.0,0.0,0.0,1.0,0.0
