,open,high,low,subjectivity,polarity,compound,negative,neutral,positive,timestamp
1368,4859.3,5278.4,4814.0,1,1,1,1,1,1,2019-04-03
1369,4968.7,5042.5,4789.2,1,1,1,1,1,1,2019-04-04
1370,4902.5,5029.4,4888.3,1,1,1,1,1,1,2019-04-05
1371,5010.0,5198.4,4947.9,1,1,1,1,1,1,2019-04-06
1372,5046.1,5219.5,5033.7,1,1,1,1,1,1,2019-04-07
1373,5173.5,5300.6,5060.5,1,1,1,1,1,1,2019-04-08
1374,5245.0,5245.9,5095.2,1,1,1,1,1,1,2019-04-09
1375,5158.4,5404.1,5142.9,1,1,1,1,1,1,2019-04-10
1376,5307.7,5337.0,4948.0,1,1,1,1,1,1,2019-04-11
1377,5022.7,5080.5,4889.2,1,1,1,1,1,1,2019-04-12
1378,5054.2,5093.4,5011.6,1,1,1,1,1,1,2019-04-13
1379,5052.0,5153.5,5010.7,1,1,1,1,1,1,2019-04-14
1380,5135.1,5168.0,4964.2,1,1,1,1,1,1,2019-04-15
1381,5031.4,5198.4,5014.4,1,1,1,1,1,1,2019-04-16
1382,5182.1,5230.9,5165.5,1,1,1,1,1,1,2019-04-17
1383,5208.3,5293.1,5205.0,1,1,1,1,1,1,2019-04-18
1384,5264.8,5282.4,5192.1,1,1,1,1,1,1,2019-04-19
1385,5241.0,5327.0,5240.2,1,1,1,1,1,1,2019-04-20
1386,5290.2,5308.2,5189.8,1,1,1,1,1,1,2019-04-21
1387,5248.2,5370.2,5170.2,1,1,1,1,1,1,2019-04-22
1388,5346.5,5594.4,5291.4,1,1,1,1,1,1,2019-04-23
1389,5511.2,5589.6,5346.8,1,1,1,1,1,1,2019-04-24
1390,5415.6,5528.2,5137.4,1,1,1,1,1,1,2019-04-25
1391,5209.2,5469.3,5159.3,1,1,1,1,1,1,2019-04-26
1392,5298.2,5318.1,5225.4,1,1,1,1,1,1,2019-04-27
1393,5265.7,5332.5,5234.4,1,1,1,1,1,1,2019-04-28
1394,5302.4,5322.9,5188.9,1,1,1,1,1,1,2019-04-29
1395,5235.4,5336.6,5195.9,1,1,1,1,1,1,2019-04-30
1396,5321.1,5396.3,5319.5,1,1,1,1,1,1,2019-05-01
1397,5384.6,5530.8,5370.0,1,1,1,1,1,1,2019-05-02
1398,5493.6,5844.2,5478.7,1,1,1,1,1,1,2019-05-03
1399,5768.0,5899.2,5605.0,1,1,1,1,1,1,2019-05-04
1400,5830.8,5838.2,5708.2,1,1,1,1,1,1,2019-05-05
1401,5775.1,5801.4,5630.5,1,1,1,1,1,1,2019-05-06
1402,5745.5,6019.8,5745.5,1,1,1,1,1,1,2019-05-07
1403,5849.4,6011.3,5799.1,1,1,1,1,1,1,2019-05-08
1404,5990.5,6206.0,5990.0,1,1,1,1,1,1,2019-05-09
1405,6194.3,6466.6,6157.8,1,1,1,1,1,1,2019-05-10
1406,6386.6,7373.8,6386.5,1,1,1,1,1,1,2019-05-11
1407,7190.0,7518.9,6802.6,1,1,1,1,1,1,2019-05-12
1408,6984.7,8058.3,6893.1,1,1,1,1,1,1,2019-05-13
1409,7806.4,8323.9,7674.0,1,1,1,1,1,1,2019-05-14
1410,7994.8,8225.3,7856.5,1,1,1,1,1,1,2019-05-15
1411,8164.8,8293.3,7720.4,1,1,1,1,1,1,2019-05-16
1412,7871.9,7924.0,6998.6,1,1,1,1,1,1,2019-05-17
1413,7359.9,7458.5,7189.4,1,1,1,1,1,1,2019-05-18
1414,7261.9,8253.4,7252.3,1,1,1,1,1,1,2019-05-19
1415,8156.4,8156.4,7604.0,1,1,1,1,1,1,2019-05-20
1416,7965.0,8056.8,7813.2,1,1,1,1,1,1,2019-05-21
1417,7928.7,7999.0,7545.9,1,1,1,1,1,1,2019-05-22
1418,7637.2,7939.1,7486.8,1,1,1,1,1,1,2019-05-23
1419,7852.8,8124.1,7775.4,1,1,1,1,1,1,2019-05-24
1420,7971.4,8090.1,7919.1,1,1,1,1,1,1,2019-05-25
1421,8029.6,8718.6,7866.5,1,1,1,1,1,1,2019-05-26
1422,8628.9,8902.8,8607.3,1,1,1,1,1,1,2019-05-27
1423,8759.4,8794.1,8568.8,1,1,1,1,1,1,2019-05-28
1424,8715.6,8747.2,8435.3,1,1,1,1,1,1,2019-05-29
1425,8647.8,9045.9,8054.7,1,1,1,1,1,1,2019-05-30
1426,8271.4,8578.8,8135.0,1,1,1,1,1,1,2019-05-31
1427,8556.9,8615.8,8454.0,1,1,1,1,1,1,2019-06-01
1428,8545.8,8807.7,8534.8,1,1,1,1,1,1,2019-06-02
1429,8728.6,8734.9,8102.7,1,1,1,1,1,1,2019-06-03
1430,8118.1,8118.1,7494.0,1,1,1,1,1,1,2019-06-04
1431,7685.6,7885.0,7590.4,1,1,1,1,1,1,2019-06-05
1432,7779.6,7861.4,7480.4,1,1,1,1,1,1,2019-06-06
1433,7785.8,8099.4,7749.4,1,1,1,1,1,1,2019-06-07
1434,7985.3,8044.4,7770.5,1,1,1,1,1,1,2019-06-08
1435,7901.6,7937.5,7516.9,1,1,1,1,1,1,2019-06-09
1436,7635.0,8012.8,7523.6,1,1,1,1,1,1,2019-06-10
1437,7987.8,8010.4,7714.5,1,1,1,1,1,1,2019-06-11
1438,7888.0,8198.1,7805.8,1,1,1,1,1,1,2019-06-12
1439,8132.4,8306.1,8028.6,1,1,1,1,1,1,2019-06-13
1440,8218.6,8685.3,8153.2,1,1,1,1,1,1,2019-06-14
1441,8655.8,8856.7,8582.3,1,1,1,1,1,1,2019-06-15
1442,8812.2,9332.0,8771.1,1,1,1,1,1,1,2019-06-16
1443,8961.0,9438.1,8959.8,1,1,1,1,1,1,2019-06-17
1444,9318.9,9336.1,8962.7,1,1,1,1,1,1,2019-06-18
1445,9080.7,9295.1,9044.0,1,1,1,1,1,1,2019-06-19
1446,9255.0,9583.9,9188.4,1,1,1,1,1,1,2019-06-20
1447,9517.7,10184.3,9517.4,1,1,1,1,1,1,2019-06-21
1448,10178.1,11160.5,10031.3,1,1,1,1,1,1,2019-06-22
1449,10721.5,11361.3,10557.8,1,1,1,1,1,1,2019-06-23
1450,10897.3,11114.4,10622.6,1,1,1,1,1,1,2019-06-24
1451,11046.6,11833.9,11033.7,1,1,1,1,1,1,2019-06-25
1452,11811.6,13929.8,11747.3,1,1,1,1,1,1,2019-06-26
1453,13062.4,13422.0,10493.5,1,1,1,1,1,1,2019-06-27
1454,11288.4,12461.8,10970.5,1,1,1,1,1,1,2019-06-28
1455,12408.0,12422.9,11490.8,1,1,1,1,1,1,2019-06-29
1456,11906.0,12179.3,10765.4,1,1,1,1,1,1,2019-06-30
1457,10821.4,11254.5,10041.6,1,1,1,1,1,1,2019-07-01
1458,10615.5,10923.5,9728.5,1,1,1,1,1,1,2019-07-02
1459,10835.9,11931.8,10835.9,1,1,1,1,1,1,2019-07-03
1460,11899.3,11948.0,11087.1,1,1,1,1,1,1,2019-07-04
1461,11159.7,11381.8,10810.3,1,1,1,1,1,1,2019-07-05
1462,11267.9,11524.6,11108.1,1,1,1,1,1,1,2019-07-07
1463,11415.8,12332.3,11304.8,1,1,1,1,1,1,2019-07-08
1464,12250.6,12772.9,12111.2,1,1,1,1,1,1,2019-07-09
1465,12542.8,13134.4,11594.9,1,1,1,1,1,1,2019-07-10
1466,12111.6,12111.6,11029.0,1,1,1,1,1,1,2019-07-11
1467,11343.7,11881.4,11109.8,1,1,1,1,1,1,2019-07-12
